PLU,NAME 
10010091,"SAMPOERNA, ROKOK FILTER MILD (PCS) MERAH 16'S BKS"
20025487,"INDOMARET, BERAS RAMOS SUPER  5kg SAK"
20042991,"INDOMARET, GULA PASIR PREMIUM PUTIH 1kg PCK"
20052296,"INDOMARET, GULA PASIR PREMIUM KUNING 1kg PCK"
10008989,"BIMOLI, MINYAK GORENG (REFILL)  2000mL PCH"
20090009,"SANIA, BERAS PREMIUM  5kg SAK"
10005838,"FILMA, MINYAK GORENG REFILL  2000mL PCH"
20100795,"ESSE CHANGE, ROKOK FILTER DOUBLE 20'S BKS"
20069208,"LE MINERALE, AIR MINERAL  600mL BTL"
20045854,"PSM, GULA PREMIUM  1kg PCK"
20080198,"LARISST, BERAS KEPALA SUPER  5kg SAK"
20062125,"L A, ROKOK FILTER BOLD  20'S BKS"
20040293,"SGM EKSPLOR 1+, PRO-GRESSMAXX SUSU PERTUMBUHAN VANILA 900g BOX"
20120993,"HARUMAS, MINYAK GORENG  2L PCH"
10010075,"GUDANG GARAM, ROKOK FILTER SURYA (PCS)  16'S BKS"
20070618,"MARLBORO, ROKOK FILTER BLACK 20'S BKS"
20040294,"SGM EKSPLOR 1+, PRO-GRESSMAXX SUSU PERTUMBUHAN MADU 900g BOX"
20085988,"LE MINERALE, AIR MINERAL  1500mL BTL"
20124037,"L A, ROKOK FILTER ICE PURPLE BOOST 16'S BKS"
10004906,"BEAR BRAND, SUSU ENCER STERIL  189mL KLG"
10005482,"SUNLIGHT, PENCUCI PIRING NEW REF LIME 700/650mL PCH"
20119956,"INDOMARET, BERAS KEPALA SUPER PREMIUM  5Kg SAK"
10003814,"AQUA, AIR MINERAL  600mL BTL"
10003517,"INDOMIE, MIE GORENG PLUS SPECIAL 80g PCK"
10003974,"TROPICAL, MINYAK GORENG  2000mL BTL"
10010100,"MARLBORO, ROKOK FILTER HARDPACK (PCS)  20'S BKS"
20120992,"CAMAR, MINYAK GORENG  2L PCH"
10030733,"DJI SAM SOE, ROKOK KRETEK SUPER PREMIUM 12'S BKS"
20064088,"SAMPOERNA, KRETEK SLIMS AVOLUTION  20'S BKS"
20035484,"PUCUK HARUM, MINUMAN TEH MELATI 350mL BTL"
20068905,"FRISIAN FLAG, SUSU KENTAL MANIS PUTIH 545g PCH"
20060300,"CAMEL, ROKOK FILTER ACTIVATE PURPLE MINT 20'S BKS"
20040298,"SGM ANANDA 2, FORMULA BAYI BUBUK 6 -12 BULAN 1000g BOX"
10000426,"AQUA, AIR MINERAL  1500mL BTL"
10004669,"ULTRA, SUSU UHT STERIL SLIM CHOCOLATE 250mL TPK"
