PLU,DESC,ptag
10010091,"SAMPOERNA, ROKOK FILTER MILD (PCS) MERAH 16'S BKS",E
10008989,"BIMOLI, MINYAK GORENG (REFILL)  2000mL PCH",E
10005482,"SUNLIGHT, PENCUCI PIRING NEW REF LIME 700/650mL PCH",E
20070618,"MARLBORO, ROKOK FILTER BLACK 20'S BKS",D
20069208,"LE MINERALE, AIR MINERAL  600mL BTL",E
10005838,"FILMA, MINYAK GORENG REFILL  2000mL PCH",D
10004906,"BEAR BRAND, SUSU ENCER STERIL  189mL KLG",E
10003814,"AQUA, AIR MINERAL  600mL BTL",E
20100795,"ESSE CHANGE, ROKOK FILTER DOUBLE 20'S BKS",blank
20025487,"INDOMARET, BERAS RAMOS SUPER  5kg SAK",T
20040294,"SGM EKSPLOR 1+, PRO-GRESSMAXX SUSU PERTUMBUHAN MADU 900g BOX",E
20090009,"SANIA, BERAS PREMIUM  5kg SAK",E
20124037,"L A, ROKOK FILTER ICE PURPLE BOOST 16'S BKS",D
20079512,"SAMPOERNA, ROKOK FILTER MILD (PCS) MENTHOL BURST 16'S BKS",D
10010075,"GUDANG GARAM, ROKOK FILTER SURYA (PCS)  16'S BKS",E
20042991,"INDOMARET, GULA PASIR PREMIUM PUTIH 1kg PCK",blank
10010100,"MARLBORO, ROKOK FILTER HARDPACK (PCS)  20'S BKS",E
20052296,"INDOMARET, GULA PASIR PREMIUM KUNING 1kg PCK",blank
10010074,"GUDANG GARAM, ROKOK FILTER SURYA (PCS) MERAH 12'S BKS",blank
20062125,"L A, ROKOK FILTER BOLD  20'S BKS",D
20080198,"LARISST, BERAS KEPALA SUPER  5kg SAK",E
10000426,"AQUA, AIR MINERAL  1500mL BTL",E
10003517,"INDOMIE, MIE GORENG PLUS SPECIAL 80g PCK",E
10030733,"DJI SAM SOE, ROKOK KRETEK SUPER PREMIUM 12'S BKS",E
20040293,"SGM EKSPLOR 1+, PRO-GRESSMAXX SUSU PERTUMBUHAN VANILA 900g BOX",E
20120993,"HARUMAS, MINYAK GORENG  2L PCH",blank
10003974,"TROPICAL, MINYAK GORENG  2000mL BTL",E
20095217,"SAMPOERNA, ROKOK FILTER SPLASH TROPICAL 16'S BKS",S
20085988,"LE MINERALE, AIR MINERAL  1500mL BTL",E
20064088,"SAMPOERNA, KRETEK SLIMS AVOLUTION  20'S BKS",D
20120992,"CAMAR, MINYAK GORENG  2L PCH",N
20045422,"MAMY POKO, PANTS STANDAR 30/28'S  LARGE PCK",E
10004669,"ULTRA, SUSU UHT STERIL SLIM CHOCOLATE 250mL TPK",E
20068905,"FRISIAN FLAG, SUSU KENTAL MANIS PUTIH 545g PCH",E
20035484,"PUCUK HARUM, MINUMAN TEH MELATI 350mL BTL",E
10033572,"PEDIASURE, TRIPLESURE VANILA 850g KLG",blank
20009737,"YOU C1000, HEALTH DRINK VITAMIN ORANGE 140mL BTL",E
20040296,"SGM EKSPLOR 3+, PRO-GRESSMAXX SUSU PERTUMBUHAN MADU 900g BOX",E
20069146,"BEBELAC 3, SUSU PERTUMBUHAN MADU 1000g BOX",E
20045419,"MAMY POKO, PANTS STANDAR 34/32'S  MEDIUM PCK",E
10000405,"ULTRA, SUSU CAIR UHT STERIL PLAIN 1000mL TPK",E
20074976,"PENSIL MAS, ROKOK FILTER MILD 20'S BKS",blank
20043389,"MARLBORO, ROKOK FILTER ICE BLAST / ICE BURST 20'S BKS",D
20119956,"INDOMARET, BERAS KEPALA SUPER PREMIUM  5Kg SAK",blank
20045423,"MAMY POKO, PANTS STANDAR 26'S  EXTRALARGE PCK",D
20019674,"YOU C1000, ISOTONIC DRINK ORANGE WATER 500mL BTL",D
10002101,"HAPPYTOS, SNACK TORTILA CHIPS MERAH 160/140g PCK",E
20040298,"SGM ANANDA 2, FORMULA BAYI BUBUK 6 -12 BULAN 1000g BOX",E
20124726,"INDOMARET, FACIAL TISSUE 2 PLY (2+1)  3x180'S BDD",E
20101141,"TROY, ROKOK KRETEK FILTER  20'S BKS",blank
10011850,"HEAD &SHOULDERS, SHAMPOO A/D MENTHOL DINGIN 160mL BTL",S
